
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.999456	0.00379507
1	-0.0532757,	1	0.00245098	YES
2	-0.0532757,-0.164988,	0.999732	0.0064	YES
3	-0.0532757,-0.164988,-0.38535,	0.999471	0.00369101	YES
4	-0.0532757,-0.164988,-0.38535,0.397652,	0.999727	0.00244765	YES
5	-0.0532757,-0.164988,-0.38535,0.397652,-3.0087,	0.999736	0.00472441	YES
6	-0.0532757,-0.164988,-0.38535,0.397652,-3.0087,-3.9326,	0.999468	0.00371451	YES
7	-0.0532757,-0.164988,-0.38535,0.397652,-3.0087,-3.9326,-8.48234,	0.998923	0.00402793	YES
n	100ms Silence pruned	0.994404	0.0155632	YES
n	100ms Silence	0.994459	0.0159269	YES
