
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	1	0.00135428
1	-3.13108,	0.999467	0.00159617	YES
2	-3.13108,-0.897269,	0.998361	0.00272851	YES
3	-3.13108,-0.897269,4.96415,	0.997027	0.00162382	YES
4	-3.13108,-0.897269,4.96415,0.358634,	0.996785	0.00187819	YES
5	-3.13108,-0.897269,4.96415,0.358634,-1.85265,	0.999732	0.00639659	YES
6	-3.13108,-0.897269,4.96415,0.358634,-1.85265,-2.98827,	0.987152	0.00458839	YES
7	-3.13108,-0.897269,4.96415,0.358634,-1.85265,-2.98827,0.182748,	0.963418	0.000849377	YES
n	100ms Silence pruned	0.974873	0.0180398	YES
n	100ms Silence	0.992543	0.0246947	YES
